source,binarize,gt,lt,vol,features,outputs,h1,h2,epochs,Lambda,Reg,alpha,experiment_time,last_mean_training_loss,last_mean_validation_loss,last_mean_training_loss_slope,last_mean_validation_loss_slope,best_last_epoch,best_last_mean_validation_loss
G,True,0,10.0,0,29,2,10,10,20,0.01,L1,0.001,3.5,0.13,0.28,-0.0045968768074,0.000908193779904,8.0,0.27
G,True,0,10.0,0,29,2,15,15,20,0.001,L2,0.0001,3.7,0.34,0.36,-0.006434001670840001,-0.004598534689,19.0,0.36
G,True,0,10.0,0,29,2,100,100,20,0.1,L1,0.0001,6.19,0.26,0.28,-0.00010311033995200004,2.88576555024e-05,16.0,0.28
G,True,0,10.0,0,29,2,5,5,20,0.001,L2,0.1,3.37,0.08,0.35,-0.003218687745,0.005290819377989999,5.0,0.27
G,True,0,10.0,0,29,2,2,2,20,0.001,L1,0.001,3.25,0.23,0.27,0.000761101471628,-0.000160436602871,19.0,0.27
G,True,0,10.0,0,29,2,50,50,20,1.0,L1,0.001,4.28,0.36,0.3,0.00321708116445,-0.00104799641148,19.0,0.3
G,True,0,10.0,0,29,2,15,15,20,1.0,L1,0.001,3.47,0.27,0.29,-0.003548711522400001,-0.0012697368421099998,19.0,0.29
G,True,0,10.0,0,29,2,5,5,20,0.01,L2,0.001,3.59,0.21,0.28,-0.0047781312255,0.000217703349282,17.0,0.28
G,True,0,10.0,0,29,2,1,1,20,0.1,L1,0.01,3.45,0.16,0.28,-0.00012361030782100002,3.03528708134e-05,-inf,inf
G,True,0,10.0,0,29,2,2,2,20,0.001,L1,0.1,3.49,0.27,0.28,0.0073871859135,0.000362589712919,11.0,0.27
G,True,0,10.0,0,29,2,2,2,20,0.01,L2,0.01,3.5,0.16,0.28,0.000679197994987,-0.000281698564593,19.0,0.28
G,True,0,10.0,0,29,2,1,1,20,0.1,L2,0.0001,3.15,0.45,0.47,-0.0082842362316,-0.005975478468899999,19.0,0.47
G,True,0,10.0,0,29,2,5,5,20,1.0,L2,0.001,3.35,0.28,0.29,-0.0032835935993800005,-0.0012879784689000002,19.0,0.29
G,True,0,10.0,0,29,2,50,50,20,0.001,L1,0.0001,4.09,0.24,0.28,-0.0049886896729,-0.0007689892344500001,19.0,0.28
G,True,0,10.0,0,29,2,100,100,20,0.0001,L2,0.0001,5.16,0.21,0.27,-0.000581774950196,-2.39234449761e-05,19.0,0.27
G,True,0,10.0,0,29,2,50,50,20,0.0001,L2,0.1,4.32,0.1,0.71,-0.00508685174475,0.0149264354067,1.0,0.31
G,True,0,10.0,0,29,2,100,100,20,0.01,L2,0.0001,5.7,0.21,0.26,-0.00221618147934,0.00022861842105300001,10.0,0.26
